EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
Golden Bush-Robin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160412,NA,2.9,2.9,8.7,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Gould's Shortwing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13317,NA,3.13,3.13,9.39,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grandala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41958,NA,4.16,4.16,12.48,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey-backed Shrike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.72,8.16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Grey-sided Bush Warbler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95709,NA,2.24,2.24,6.720000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Horned Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64572,NA,3.18,3.18,9.540000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Ibisbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55695,NA,5.07,5.07,15.21,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Large-billed Crow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,6.22,18.66,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Bearded Vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.12,20.12,60.36,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Olive-backed Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,7.199999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Plain Mountain Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,2.77,8.31,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Red-tailed Minla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105703,NA,2.83,2.83,8.49,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Rusty-flanked Treecreeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21286,NA,2.37,2.37,7.11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Siberian Stonechat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,7.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Siberian Stonechat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,2.42,7.26,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Snow Partridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17181,NA,6.36,6.36,19.080000000000002,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Speckled Wood-Pigeon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153088,NA,4.91,4.91,14.73,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Mongolian Short-toed Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02,3.02,9.06,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
