EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Koklass Pheasant,Pucrasia macrolopha,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.06,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"562,460",,NA,NA,"2,452","(Max 65,286)",NA,NA,NA,5,,,Unknown,"6,600,000",,5%,Decreasing,Resident,https://www.iucnredlist.org/species/22679179/264162844
Tibetan Partridge,Perdix hodgsoniae,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"26,688","(Max 34,689)",NA,NA,273,"(Max 8,491)",NA,NA,NA,2,,,Unknown,"1,710,000",,2%,Stable,Resident,https://www.iucnredlist.org/species/22678919/263632620
Mrs. Hume's Pheasant,Syrmaticus humiae,Least Concern,Vulnerable,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.85,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"6,410","(Max 12,390)",NA,NA,23,"(Max 2,000)",NA,NA,NA,1,,,"2,500-9,999, 7,500","854,000",,8%,Decreasing,Resident,https://www.iucnredlist.org/species/22679330/218986656
Cheer Pheasant,Catreus wallichii,Least Concern,Vulnerable,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C1+2a(ii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.91,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"87,706",,NA,NA,849,"(Max 31,090)",NA,NA,NA,1,,,"2,500-9,999","259,000",,57%,Decreasing,Resident,https://www.iucnredlist.org/species/22679312/218835395
Kalij Pheasant,Lophura leucomelanos,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.04,NA,,No,NA,,,NA,NA,Schedule-I,No,"1,234,364",,NA,NA,,,NA,NA,NA,5,,,Unknown,"2,840,000",,24%,Decreasing,Resident,https://www.iucnredlist.org/species/22679217/264141273
Indian Peafowl,Pavo cristatus,Least Concern,Least Concern,To be done,Low,Rapid Increase,Rapid Increase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.91,"11.65% (13.58, 9.71) pa, ","10y, 2015-2025",No,NA,,,NA,NA,Schedule-I,No,"3,709,144",,NA,NA,,,NA,NA,NA,1,,,Unknown,"4,380,000",,93%,Increasing,Resident,https://www.iucnredlist.org/species/22679435/154429562
Green Peafowl,Pavo muticus,Critically Endangered,Endangered,To be done,NA,NA,NA,NA,NA,NA,CR,NA,NA,NA,D,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.96,NA,NA,Unknown,NA,,,NA,Appendix II,Schedule-I,No,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,(Max 10),"10,000-19,999","4,590,000",,NA,Decreasing,Uncertain,https://www.iucnredlist.org/species/22679440/131749282
Red Spurfowl,Galloperdix spadicea,Least Concern,Least Concern,Least Concern,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.92,"-0.88% (0.25, -2.01) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,Yes,"1,980,521",,NA,NA,,,NA,NA,NA,3,,,Unknown,"1,550,000",,100%,Stable,Resident,https://www.iucnredlist.org/species/22679131/263699457
Painted Spurfowl,Galloperdix lunulata,Least Concern,Least Concern,Least Concern,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.43,"0.62% (2.3, -1.06) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,Yes,"1,550,028",,NA,NA,,,NA,NA,NA,1,,,Unknown,"1,770,000",,100%,Stable,Resident,https://www.iucnredlist.org/species/22679134/263702734
Grey Peacock-Pheasant,Polyplectron bicalcaratum,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.59,NA,,Unknown,NA,,,NA,Appendix II,Schedule-I,No,"234,802",,NA,NA,"1,317","(Max 61,984)",NA,NA,NA,1,,,Unknown,"2,590,000",,13%,Decreasing,Resident,https://www.iucnredlist.org/species/22736199/263601893
Mountain Bamboo-Partridge,Bambusicola fytchii,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.99,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"123,739",,NA,NA,"1,019","(Max 25,922)",NA,NA,NA,1,,,Unknown,"981,000",,13%,Decreasing,Resident,https://www.iucnredlist.org/species/22679114/263704002
Red Junglefowl,Gallus gallus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,,No,NA,,,NA,NA,Schedule-II,No,"2,664,250",,NA,NA,,,NA,NA,NA,2,,,Unknown,"33,900,000",,20%,Decreasing,Resident,https://www.iucnredlist.org/species/22679199/263732457
Grey Junglefowl,Gallus sonneratii,Least Concern,Least Concern,Least Concern,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.7,"0.59% (1.34, -0.17) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,Appendix II,Schedule-I,Yes,"1,049,704",,NA,NA,,,NA,NA,NA,1,,,Unknown,"1,220,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22679203/263721096
Grey Francolin,Ortygornis pondicerianus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.43,"0.67% (1.45, -0.11) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"3,350,578",,NA,NA,,,NA,NA,NA,2,,,Unknown,"6,180,000",,76%,Stable,Resident,https://www.iucnredlist.org/species/22678728/131904182
Swamp Francolin,Ortygornis gularis,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.19,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"337,610",,NA,NA,"1,693","(Max 37,121)",NA,NA,NA,1,,,"7,500-20,000","375,000",,63%,Decreasing,Resident,https://www.iucnredlist.org/species/22678733/250119497
Chinese Francolin,Francolinus pintadeanus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.82,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,441,"(Max 2,377)",NA,NA,8,(Max 284),NA,NA,NA,1,,,Unknown,"3,910,000",,< 1%,Stable,Resident,https://www.iucnredlist.org/species/22678725/263658131
Black Francolin,Francolinus francolinus,Least Concern,Least Concern,To be done,Low,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.32,"-0.06% (0.62, -0.74) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"2,274,488",,NA,NA,,,NA,NA,NA,3,,,"21,400-37,700,28,000","101,000",,42%,Stable,Resident,https://www.iucnredlist.org/species/22678719/166185195
Painted Francolin,Francolinus pictus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.61,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"1,158,289",,NA,NA,,,NA,NA,NA,2,,,Unknown,"2,380,000",,99%,Decreasing,Resident,https://www.iucnredlist.org/species/22678722/263657688
Tibetan Snowcock,Tetraogallus tibetanus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.42,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"209,145",,NA,NA,215,"(Max 22,174)",NA,NA,NA,3,,,Unknown,"2,340,000",,3%,Stable,Resident,https://www.iucnredlist.org/species/22678667/263670335
Himalayan Snowcock,Tetraogallus himalayensis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.18,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"176,991",,NA,NA,676,"(Max 59,167)",NA,NA,NA,1,,,Unknown,"4,500,000",,7%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22678673/132049858
Blue-breasted Quail,Synoicus chinensis,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.05,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"143,251",,NA,NA,141,"(Max 29,770)",NA,NA,NA,2,,,Unknown,"35,200,000",,20%,Stable,Uncertain,https://www.iucnredlist.org/species/22678979/280930572
Common Quail,Coturnix coturnix,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2bcde+3bcde+4bcde,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.42,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"2,758,294",,NA,NA,"1,206","(Max 738,364)",NA,NA,NA,1,,,"5,000,000-9,030,000,6,560,000","8,490,000",,8%,Decreasing,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22678944/166185991
Rain Quail,Coturnix coromandelica,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"1,839,926",,NA,NA,,,NA,NA,NA,1,,,Unknown,"5,100,000",,89%,Stable,Uncertain,https://www.iucnredlist.org/species/22678958/263618856
Chukar Partridge,Alectoris chukar,Least Concern,Least Concern,To be done,Low,Rapid Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.02,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"247,851",,NA,NA,,,NA,NA,NA,2,,,"1,350,000-3,900,000,2,240,000","1,050,000",,2%,Unknown,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22678691/166184151
Jungle Bush-Quail,Perdicula asiatica,Least Concern,Least Concern,To be done,Low,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.67,"-0.27% (1.22, -1.76) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"2,623,807",,NA,NA,,,NA,NA,NA,4,,,Unknown,"3,330,000",,100%,Stable,Resident,https://www.iucnredlist.org/species/22678997/131873750
Rock Bush-Quail,Perdicula argoondah,Least Concern,Least Concern,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.57,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"1,346,954",,NA,NA,,,NA,NA,NA,3,,,Unknown,"1,440,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22679002/263620646
Painted Bush-Quail,Perdicula erythrorhyncha,Least Concern,Least Concern,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.66,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"165,781",,NA,NA,"1,512","(Max 52,590)",NA,NA,NA,2,,,Unknown,"1,290,000",,100%,Stable,Resident,https://www.iucnredlist.org/species/22679007/263620820
Manipur Bush-Quail,Perdicula manipurensis,Critically Endangered,Critically Endangered,Critically Endangered,High,Insufficient Data,Insufficient Data,NA,NA,NA,CR,NA,NA,NA,D,D,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,Unknown,NA,,,NA,NA,Schedule-I,Yes,NA,NA,NA,NA,NA,NA,NA,2,NA,2,10,(Max 200),1-200,"144,000",,100%,Unknown,Uncertain,https://www.iucnredlist.org/species/22679012/218880247
Himalayan Quail,Ophrysia superciliosa,Critically Endangered,Critically Endangered,Critically Endangered,High,Insufficient Data,Insufficient Data,NA,NA,NA,CR,NA,NA,NA,D,D,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.13,NA,NA,Unknown,NA,,,NA,NA,Schedule-I,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,(Max 49),1-49,"2,100",,100%,Unknown,Uncertain,https://www.iucnredlist.org/species/22679141/132051220
Rock Pigeon,Columba livia,Least Concern,Least Concern,To be done,Low,Rapid Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.09,NA,,Uncertain,NA,,,NA,NA,Not scheduled,No,"7,440,887",,NA,NA,,,NA,NA,NA,2,,,Unknown,"64,600,000",,16%,Unknown,Resident,https://www.iucnredlist.org/species/22690066/281965783
Hill Pigeon,Columba rupestris,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.82,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"386,476",,NA,NA,"2,705","(Max 59,161)",NA,NA,NA,1,,,Unknown,"17,800,000",,< 1%,Decreasing,Resident,https://www.iucnredlist.org/species/22690074/263608982
Snow Pigeon,Columba leuconota,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.91,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"708,714",,NA,NA,,,NA,NA,NA,2,,,Unknown,"4,110,000",,8%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22690077/263610048
Yellow-eyed Pigeon,Columba eversmanni,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"33,560",,NA,NA,193,"(Max 12,708)",NA,NA,NA,1,,,"10,000-19,999","3,080,000",,16%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22690097/217014626
Common Wood-Pigeon,Columba palumbus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.97,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"77,851",,NA,NA,852,"(Max 28,842)",NA,NA,NA,1,,,"41,400,000-57,600,000,48,400,000","9,320,000",,< 1%,Increasing,Local Migrant & Winter Migrant,https://www.iucnredlist.org/species/22690103/166231450
Speckled Wood-Pigeon,Columba hodgsonii,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.91,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"1,135,440",,NA,NA,"1,182","(Max 153,088)",NA,NA,NA,1,,,Unknown,"4,940,000",,12%,Decreasing,Resident,https://www.iucnredlist.org/species/22690159/263998078
Ashy Wood-Pigeon,Columba pulchricollis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.85,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"628,923",,NA,NA,367,"(Max 84,832)",NA,NA,NA,1,,,Unknown,"2,990,000",,22%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22690168/263995199
Nilgiri Wood-Pigeon,Columba elphinstonii,Least Concern,Least Concern,Least Concern,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.04,"-1.05% (1.61, -3.7) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-I,Yes,"368,848",,NA,NA,,,NA,NA,NA,1,,,"10,000-50,000","230,000",,100%,Unknown,Resident & Local Migrant,https://www.iucnredlist.org/species/22690173/250437157
Pale-capped Pigeon,Columba punicea,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"303,304",,NA,NA,584,"(Max 61,682)",NA,NA,NA,1,,,"2,500-9,999","1,530,000",,58%,Decreasing,Resident,https://www.iucnredlist.org/species/22690191/180939007
Andaman Wood-Pigeon,Columba palumboides,Least Concern,Near Threatened,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.29,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"54,255",,NA,NA,642,"(Max 3,946)",NA,NA,NA,1,,,"2,500-9,999","81,700",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22690201/118217922
Oriental Turtle-Dove,Streptopelia orientalis,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.28,"0.79% (2.35, -0.77) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"4,812,434",,NA,NA,,,NA,NA,NA,4,,,Unknown,"16,500,000",,13%,Decreasing,Within-India Migrant,https://www.iucnredlist.org/species/22690439/264165100
Eurasian Collared-Dove,Streptopelia decaocto,Least Concern,Least Concern,To be done,Low,Increase,Increase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4,"2.32% (3.26, 1.38) pa, ","10y, 2015-2025",No,NA,,,NA,NA,Schedule-II,No,"6,010,706",,NA,NA,,,NA,NA,NA,1,,,"17,900,000-44,100,000,25,500,000","6,580,000",,15%,Stable,Resident,https://www.iucnredlist.org/species/22727811/166435449
Red Collared-Dove,Streptopelia tranquebarica,Least Concern,Least Concern,To be done,Low,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.32,"0.4% (1.27, -0.48) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"6,565,017",,NA,NA,,,NA,NA,NA,2,,,Unknown,"18,300,000",,27%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22690493/130171997
Spotted Dove,Spilopelia chinensis,Least Concern,Least Concern,To be done,Low,Increase,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.86,"0.71% (1.51, -0.08) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"4,843,406",,NA,NA,,,NA,NA,NA,2,,,Unknown,"16,800,000",,91%,Increasing,Resident,https://www.iucnredlist.org/species/60482887/264111548
Laughing Dove,Spilopelia senegalensis,Least Concern,Least Concern,To be done,Low,Increase,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.99,"-0.87% (0.78, -2.52) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"3,529,200",,NA,NA,,,NA,NA,NA,2,,,"141,000-328,000,210,000","203,000",,9%,Increasing,Resident,https://www.iucnredlist.org/species/22690445/166233693
Barred Cuckoo-Dove,Macropygia unchall,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.37,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"390,669",,NA,NA,"3,217","(Max 94,970)",NA,NA,NA,1,,,Unknown,"12,900,000",,6%,Decreasing,Resident,https://www.iucnredlist.org/species/22690545/264081562
Andaman Cuckoo-Dove,Macropygia rufipennis,Least Concern,Least Concern,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.91,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"54,475",,NA,NA,790,"(Max 4,153)",NA,NA,NA,2,,,Unknown,"66,500",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22690549/118430734
Asian Emerald Dove,Chalcophaps indica,Least Concern,Least Concern,To be done,Low,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.89,"-0.59% (0.48, -1.66) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"5,945,678",,NA,NA,,,NA,NA,NA,3,,,Unknown,"21,300,000",,13%,Unknown,Resident,https://www.iucnredlist.org/species/22725538/280925817
Nicobar Pigeon,Caloenas nicobarica,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cde+3cde+4cde,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,8.98,NA,,Unknown,NA,,,NA,Appendix I,Schedule-I,No,"91,828",,NA,NA,302,"(Max 1,875)",NA,NA,NA,1,,,Unknown,"16,200,000",,1%,Decreasing,Resident,https://www.iucnredlist.org/species/22690974/178136167
Orange-breasted Green-Pigeon,Treron bicinctus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.07,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"2,903,696",,NA,NA,,,NA,NA,NA,1,,,Unknown,"12,200,000",,38%,Decreasing,Local Migrant,https://www.iucnredlist.org/species/22691142/263964794
Grey-fronted Green-Pigeon,Treron affinis,Least Concern,Least Concern,Least Concern,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.18,"0.15% (1.16, -0.87) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,Yes,"452,720",,NA,NA,,,NA,NA,NA,1,,,Unknown,"479,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22725554/264091743
Andaman Green-Pigeon,Treron chloropterus,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A4d,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"111,917",,NA,NA,"1,757","(Max 5,211)",NA,NA,NA,1,,,Unknown,"113,080",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22726279/198251435
Ashy-headed Green-Pigeon,Treron phayrei,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"1,215,325",,NA,NA,"1,232","(Max 230,711)",NA,NA,NA,2,,,Unknown,"3,080,000",,14%,Decreasing,Resident,https://www.iucnredlist.org/species/22726285/177768727
