"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"231","Eastern Barn Owl",NA,NA,NA,2015,4349835,NA,NA,NA,NA
"232","Gray Francolin",NA,NA,NA,2017,3350578,NA,NA,NA,NA
"233","Indian Bushlark",NA,NA,NA,2018,2774349,NA,NA,NA,NA
"234","Sykes's Warbler",NA,NA,NA,2015,2787146,NA,NA,NA,NA
"235","White-browed Fantail",NA,NA,NA,2016,2905746,NA,NA,NA,NA
"236","Zitting Cisticola",NA,NA,NA,2017,6360138,NA,NA,NA,NA
"237","Clamorous Reed Warbler",NA,NA,NA,2017,5904502,NA,NA,NA,NA
"238","Yellow-browed Warbler",NA,NA,NA,2018,3564172,NA,NA,NA,NA
"239","Indian Nightjar",NA,NA,NA,2021,2765360,NA,NA,NA,NA
"240","Eastern Orphean Warbler",NA,NA,NA,2014,1813604,NA,NA,NA,NA
"241","Tricolored Munia",NA,NA,NA,2014,3496668,NA,NA,NA,NA
"242","Spotted Owlet",NA,NA,NA,2017,4407695,NA,NA,NA,NA
"243","Chinese Francolin",8,284,4,2021,441,2377,NA,NA,NA
"244","Golden Eagle",NA,NA,NA,2015,584638,NA,NA,NA,NA
"245","Imperial Eagle",NA,NA,NA,2017,3447032,NA,NA,NA,NA
"246","Common Swift",940,246063,728,2017,772592,NA,NA,NA,NA
"247","Hill Pigeon",2705,59161,1828,2017,386476,NA,NA,NA,NA
"248","Roseate Tern",6,1097,4,2005,19809,64365,NA,NA,NA
"249","Blue Rock-Thrush",NA,NA,NA,2020,4876404,NA,NA,NA,NA
"250","Desert Wheatear",NA,NA,NA,2010,2540645,NA,NA,NA,NA
"251","Great Rosefinch",1242,47254,804,2017,310077,NA,NA,NA,NA
"252","Tibetan Sand-Plover",NA,NA,NA,2015,6746546,NA,NA,NA,NA
"253","Mistle Thrush",1801,68258,1144,2017,189538,NA,NA,NA,NA
"254","Wallcreeper",NA,NA,NA,2014,1445708,NA,NA,NA,NA
"255","Tickell's Leaf Warbler",NA,NA,NA,2010,4349512,NA,NA,NA,NA
"256","Black-headed Ibis",NA,NA,NA,2013,4241129,NA,NA,NA,NA
"257","Bronze-winged Jacana",NA,NA,NA,2015,3847012,NA,NA,NA,NA
"258","Eastern Cattle-Egret",NA,NA,NA,2021,7127283,NA,NA,NA,NA
"259","Indian Cormorant",NA,NA,NA,2018,4193611,NA,NA,NA,NA
"260","Indian Pond-Heron",NA,NA,NA,2019,7162088,NA,NA,NA,NA
"261","Medium Egret",NA,NA,NA,2016,6903395,NA,NA,NA,NA
"262","Lesser Whistling-Duck",NA,NA,NA,2017,6356862,NA,NA,NA,NA
"263","Little Cormorant",NA,NA,NA,2016,5961252,NA,NA,NA,NA
"264","Little Egret",NA,NA,NA,2019,7006781,NA,NA,NA,NA
"265","Purple Heron",NA,NA,NA,2017,6885706,NA,NA,NA,NA
"266","Western Marsh Harrier",NA,NA,NA,2013,6236095,NA,NA,NA,NA
"267","Whiskered Tern",NA,NA,NA,2016,6021121,NA,NA,NA,NA
"268","Brown-breasted Flycatcher",NA,NA,NA,2013,2884227,NA,NA,NA,NA
"269","Streak-throated Woodpecker",NA,NA,NA,2016,3594314,NA,NA,NA,NA
"270","Common Pochard",NA,NA,NA,2017,4605698,NA,NA,NA,NA
"271","Brahminy Starling",NA,NA,NA,2016,4463429,NA,NA,NA,NA
"272","Eurasian Sparrowhawk",NA,NA,NA,2022,4898225,NA,NA,NA,NA
"273","Large-billed Leaf Warbler",NA,NA,NA,2013,3970417,NA,NA,NA,NA
"274","Richard's Pipit",NA,NA,NA,2009,5130340,NA,NA,NA,NA
"275","Jerdon's Baza",1852,456812,1120,2021,3950104,NA,NA,NA,NA
