"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"215","Montagu's Harrier",NA,NA,NA,2015,2116814,NA,NA,NA,NA
"216","Plain Prinia",NA,NA,NA,2015,4463606,NA,NA,NA,NA
"217","Savanna Nightjar",NA,NA,NA,2017,3619406,NA,NA,NA,NA
"218","White-bellied Minivet",NA,NA,NA,2014,1667518,NA,NA,NA,NA
"219","Black Drongo",NA,NA,NA,2015,6719829,NA,NA,NA,NA
"220","Shikra",NA,NA,NA,2015,5010616,NA,NA,NA,NA
"221","Pallid Harrier",NA,NA,NA,2015,2163281,NA,NA,NA,NA
"222","Purple Sunbird",NA,NA,NA,2016,4494680,NA,NA,NA,NA
"223","Rain Quail",NA,NA,NA,2013,1839926,NA,NA,NA,NA
"224","Booted Warbler",NA,NA,NA,2012,3331954,NA,NA,NA,NA
"225","Common Tailorbird",NA,NA,NA,2014,4751177,NA,NA,NA,NA
"226","Eurasian Wryneck",NA,NA,NA,2020,5828178,NA,NA,NA,NA
"227","Ashy Prinia",NA,NA,NA,2015,3918883,NA,NA,NA,NA
"228","Yellow-eyed Babbler",NA,NA,NA,2017,3793343,NA,NA,NA,NA
"229","Streaked Weaver",NA,NA,NA,2016,4146870,NA,NA,NA,NA
"230","Indian Golden Oriole",NA,NA,NA,2016,3897033,NA,NA,NA,NA
