"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Pale-chinned Flycatcher","Cyornis poliogenys","","","X",22,0.0909090909090909,0.238636363636364,0.363636363636364,7.27272727272727,1.71171172362445
"Pale Blue Flycatcher","Cyornis unicolor","","","",32,0.03125,0.26953125,0.40625,7.96875,1.44739252135939
"Blue-throated Flycatcher","Cyornis rubeculoides","","","X",18,NA,0.253968253968254,0.388888888888889,9.77777777777778,1.88527112216435
"Large Blue Flycatcher","Cyornis magnirostris","","","X",7,NA,0.408163265306122,0.571428571428571,11.2857142857143,3.67216557360912
"Hill Blue Flycatcher","Cyornis whitei","","","",5,NA,0.25,0.4,8.6,4.90391843325315
"Tickell's Blue Flycatcher","Cyornis tickelliae","","","",NA,NA,NA,NA,NA,NA
"Nicobar Jungle Flycatcher","Cyornis nicobaricus","","","",NA,NA,NA,NA,NA,NA
"Large Niltava","Niltava grandis","","","X",39,0.102564102564103,0.301282051282051,0.538461538461538,7.07692307692308,1.32840936533826
"Small Niltava","Niltava macgrigoriae","","","X",56,0.125,0.339285714285714,0.535714285714286,6.51785714285714,1.10445029519008
"Rufous-bellied Niltava","Niltava sundara","","","X",26,0.0384615384615385,0.331730769230769,0.5,7.76923076923077,1.76754016885634
"Chinese Vivid Niltava","Niltava oatesi","","","",NA,NA,NA,NA,NA,NA
"Blue-and-white Flycatcher","Cyanoptila cyanomelana","","","",NA,NA,NA,NA,NA,NA
"Zappey's Flycatcher","Cyanoptila cumatilis","","","",NA,NA,NA,NA,NA,NA
"Nilgiri Flycatcher","Eumyias albicaudatus","","","",NA,NA,NA,NA,NA,NA
"Verditer Flycatcher","Eumyias thalassinus","","","X",43,NA,0.40406976744186,0.581395348837209,7.2093023255814,1.31676108083652
"Rusty-bellied Shortwing","Brachypteryx hyperythra","","","X",9,NA,0.238095238095238,0.555555555555556,9.66666666666667,2.53034911952218
"Gould's Shortwing","Heteroxenicus stellatus","","","X",8,NA,0.375,0.5,11.375,3.84824960209184
"Lesser Shortwing","Brachypteryx leucophris","","","X",26,0.0384615384615385,0.307692307692308,0.730769230769231,7.65384615384615,1.85446153846154
