,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
60,Andaman Boobook,2020,2025,8996.78,15671.17,"list(c(93.0595563, 92.8955776, 92.7805442, 92.6078796, 92.5245675, 92.5251955, 92.5485112, 92.5601463, 93.0141586, 93.0169594, 93.0595563, 13.3426082, 13.4145966, 12.8941308, 11.5958042, 10.6202178, 10.5891976, 10.5566357, 10.5717204, 11.9648781, 11.9792055, 13.3426082))"
61,Andaman Shama,2019,2025,12849.05,19915.45,"list(c(93.0566093, 93.0695844, 93.031818, 93.017107, 92.8857262, 92.8664972, 92.708232, 92.5353123, 92.4894773, 92.5044239, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.0479444, 93.0566093, 11.8419018, 13.3072769, 13.477962, 13.518591, 13.4274847, 13.4116029, 12.8991297, 11.5799247, 10.7247936, 10.5118752, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8142621, 11.8419018))"
62,Andaman Scops-Owl,2022,2025,9299.85,13819.77,"list(c(93.0426679, 92.9688931, 92.8955776, 92.6078796, 92.4894773, 92.5347911, 92.5396542, 92.5614928, 93.0236473, 93.0426679, 13.250262, 13.368196, 13.4145966, 11.5958042, 10.7247936, 10.5329652, 10.5391831, 10.5700245, 11.8412, 13.250262))"
63,Freckle-breasted Woodpecker,2020,2025,12360.43,19313.08,"list(c(93.0617744, 93.0473561, 93.0422084, 92.8908456, 92.708232, 92.5611595, 92.4894773, 92.5044239, 92.514602, 92.5292, 92.5319567, 92.5632274, 93.0617744, 11.8214874, 13.6298974, 13.634067, 13.4169274, 12.8991297, 11.5253721, 10.7247936, 10.5118752, 10.5142833, 10.5209812, 10.5235496, 10.571181, 11.8214874))"
64,Van Hasselt's Sunbird,2020,2025,18236.78,19195.66,"list(c(92.3979748, 92.2504608, 90.7449505, 91.3766827, 92.3865796, 92.3979748, 24.3731348, 24.6569754, 25.2307439, 23.2790534, 24.358152, 24.3731348))"
65,Sclater's Monal,2015,2025,25915.72,33364.46,"list(c(96.155452, 91.8661582, 92.108315, 95.9088327, 95.9226381, 95.9252774, 96.155452, 29.1742938, 27.6034514, 27.4885854, 28.2327678, 28.2400302, 28.2419812, 29.1742938))"
66,Saunders's Tern,2021,2025,10618.29,14689.92,"list(c(70.2022934, 69.34637, 68.9655446, 68.9649329, 69.5183799, 69.7467413, 70.1989752, 70.2022934, 22.6035519, 22.83317, 22.3656244, 22.2588395, 21.7123426, 21.4933621, 22.5762644, 22.6035519))"
67,Spot-winged Rosefinch,2018,2025,20606.85,24633.44,"list(c(80.8534253, 79.6061004, 78.7519984, 78.0736217, 78.3390851, 79.1676154, 79.4782627, 80.8534253, 30.1238989, 30.7289854, 31.0357329, 31.0931869, 30.7256894, 29.7608437, 29.5127265, 30.1238989))"
68,Tibetan Partridge,2016,2025,26687.93,34689.05,"list(c(79.0796006, 78.8868852, 78.7939054, 78.6199644, 78.618397, 78.599068, 78.475131, 77.7066711, 77.4928392, 77.0908956, 79.0446809, 79.0796006, 32.6218551, 33.2200656, 33.4400667, 33.7694634, 33.771814, 33.8004881, 33.9322538, 34.4900926, 34.5685923, 34.3158329, 31.1790832, 32.6218551))"
69,Gray-crowned Prinia,2021,2025,21002.93,35807.09,"list(c(84.3866587, 78.1282515, 78.0604477, 78.0459595, 78.0333429, 79.3480039, 84.3235647, 84.3866587, 27.3274363, 30.4181601, 30.4259225, 30.4162871, 30.3607787, 29.2843402, 27.3322964, 27.3274363))"
70,White-throated Bushchat,2021,2025,6818.32,13468.2,"list(c(82.1192773, 82.1145251, 80.1489383, 78.8453223, 81.9749895, 82.1192773, 26.7673938, 26.822067, 28.7341261, 29.5812869, 26.7936417, 26.7673938))"
71,Eastern Spot-billed Duck,2022,2025,20776.53,27389.34,"list(c(96.5091667, 95.6680723, 92.3068729, 91.6329705, 91.634863, 93.424545, 94.2064548, 96.5091667, 27.5085, 27.7796298, 26.5883067, 26.1321644, 26.1295434, 26.5956172, 26.8309399, 27.5085))"
72,Caspian Plover,2022,2025,1193.11,8087.07,"list(c(77.7764495, 75.9137093, 75.9981164, 77.7668371, 77.7733111, 77.7764495, 8.422447, 10.7839653, 10.5915959, 8.4142516, 8.4168476, 8.422447))"
73,Andaman Nightjar,2020,2025,10996.2,16492.93,"list(c(93.0446623, 93.0426679, 92.8664972, 92.7103481, 92.4894773, 92.5251955, 92.557602, 92.5614928, 93.0184527, 93.0446623, 13.224372, 13.250262, 13.4116029, 13.0900092, 10.7247936, 10.5891976, 10.5640164, 10.5700245, 11.9760036, 13.224372))"
74,Snowy-throated Babbler,2021,2025,3980.62,6665.07,"list(c(96.9099418, 96.4494157, 96.3479436, 95.5963139, 96.9099418, 27.2792834, 27.6901349, 27.7584647, 27.2562819, 27.2792834))"
75,White-bellied Sholakili,2015,2025,13078.63,18984.93,"list(c(77.7505449, 76.7105556, 77.19435, 77.2296783, 77.35971, 77.7505449, 10.3061151, 10.4953442, 8.67750000000001, 8.6177979, 8.528007, 10.3061151))"
76,Bugun Liocichla,2016,2025,62.5,767.96,"list(c(92.469606, 92.4676994, 92.4618863, 92.4294389, 92.3979378, 92.3973306, 92.3987269, 92.4036135, 92.4054825, 92.4073362, 92.4555467, 92.4652719, 92.469606, 27.154607, 27.1991892, 27.2046648, 27.1875737, 27.1039844, 27.072158, 27.0709284, 27.066965, 27.0662706, 27.0660812, 27.125239, 27.1413402, 27.154607))"
77,Marsh Babbler,2015,2025,15531.19,23639.92,"list(c(95.847252, 95.6702927, 95.4583507, 92.9484, 94.2638366, 95.4697, 95.8428353, 95.847252, 28.162738, 28.1576111, 28.0482258, 26.64558, 26.8481683, 27.3115329, 28.1354074, 28.162738))"
78,Parasitic Jaeger,2020,2025,4952.8,14225.92,"list(c(76.5190196, 76.2160689, 74.6742664, 74.6971189, 76.3646874, 76.3827888, 76.4614109, 76.5190196, 9.016153, 10.0107599, 13.6298755, 13.3964473, 9.35191559999999, 9.3095849, 9.13484010000001, 9.016153))"
79,Chin Hills Wren-Babbler,2021,2025,1748.86,4321.35,"list(c(93.3237296, 93.3115328, 93.3094177, 93.1883867, 93.0315965, 93.0331397, 93.0409735, 93.2870419, 93.3046436, 93.3237296, 23.6346912, 23.8605807, 23.8610774, 23.535989, 22.6496996, 22.6417385, 22.646926, 23.0529847, 23.1368335, 23.6346912))"
80,Tawny-breasted Wren-Babbler,2017,2025,1367.5,3204.02,"list(c(92.241853, 91.8582082, 91.7028733, 91.6062939, 91.5739929, 91.6494926, 91.6519237, 92.241853, 25.4328817, 25.5642608, 25.5085786, 25.3507986, 25.2883975, 25.2184176, 25.219028, 25.4328817))"
81,Brown-winged Kingfisher,2021,2025,8985.87,15318.49,"list(c(89.0416478, 89.0294373, 88.9212766, 88.794927, 86.839974, 86.8120483, 86.7835559, 88.7567377, 88.875177, 89.0416478, 22.0124521, 22.0777262, 22.1588456, 22.170261, 20.7621511, 20.7169133, 20.5331193, 21.6607077, 21.7949467, 22.0124521))"
82,Burmese Shrike,2024,2025,6753.63,7094.36,"list(c(95.5868216, 95.5816464, 93.8855627, 93.5960031, 93.5960517, 93.964987, 94.5542501, 95.5868216, 27.706846, 27.7109529, 24.8219187, 24.1364366, 24.1364127, 24.5192383, 25.5866537, 27.706846))"
83,Long-billed Dowitcher,2012,2025,14.33,34697.17,"list(c(93.357648, 76.8893809, 76.8915312, 93.357648, 26.634399, 28.4638333, 28.4635692, 26.634399))"
84,Tibetan Lark,2018,2025,5103.28,7780.56,"list(c(79.2624302, 78.6567449, 78.306427, 79.0796006, 79.2624302, 32.8997688, 33.6029735, 32.7976645, 32.6218551, 32.8997688))"
85,Vinaceous Rosefinch,2021,2025,9.95,449.37,"list(c(79.4609785, 79.4374137, 79.4160406, 79.4609785, 29.385391, 29.42016, 29.3734714, 29.385391))"
86,Nicobar Megapode,2021,2025,8232.21,13443.7,"list(c(93.932346, 93.6309278, 93.0945668, 93.8151147, 93.8262665, 93.8283162, 93.8300965, 93.8939334, 93.8959512, 93.932346, 7.01235, 8.495005, 8.3214361, 6.7767621, 6.7590989, 6.7571558, 6.7579502, 6.8114305, 6.8165861, 7.01235))"
87,Chestnut-backed Laughingthrush,2013,2025,1162.18,4029.47,"list(c(96.441646, 95.7202778, 95.4880142, 95.425738, 95.4261732, 95.5963139, 96.441646, 27.53874, 27.4426151, 27.4059092, 27.248907, 27.2247153, 27.2562819, 27.53874))"
88,Temminck's Tragopan,2017,2025,28945.66,36143.82,"list(c(95.9289067, 94.618553, 92.1060934, 92.1386355, 92.1916343, 92.2954032, 92.4063175, 95.9289067, 28.7672969, 29.0812464, 27.5056463, 27.4043825, 27.2824103, 27.1698448, 27.0663894, 28.7672969))"
