eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Manipur Bush-Quail,Perdicula manipurensis,mabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Assam Plains,Grassland,Uncertain,NA,NA,NA,Manipur Bush Quail,Perdicula manipurensis,NA
Himalayan Quail,Ophrysia superciliosa,himqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,Yes,Western Himalayas,Grassland,Uncertain,NA,NA,NA,Himalayan Quail,Ophrysia superciliosa,NA
Greater Flamingo,Phoenicopterus roseus,grefla3,Phoenicopteriformes,Phoenicopteridae (Flamingos),Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Within-India Migrant,NA,NA,NA,Greater Flamingo,Phoenicopterus roseus,NA
Lesser Flamingo,Phoeniconaias minor,lesfla1,Phoenicopteriformes,Phoenicopteridae (Flamingos),Moderate,Data Deficient,Uncertain,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Within-India Migrant,NA,NA,NA,Lesser Flamingo,Phoeniconaias minor,3900
Little Grebe,Tachybaptus ruficollis,litgre1,Podicipediformes,Podicipedidae (Grebes),Low,Stable,Strong Decline,Very Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Little Grebe,Tachybaptus ruficollis,10000
Horned Grebe,Podiceps auritus,horgre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Horned Grebe,Podiceps auritus,NA
Red-necked Grebe,Podiceps grisegena,rengre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Red-necked Grebe,Podiceps grisegena,NA
Great Crested Grebe,Podiceps cristatus,grcgre1,Podicipediformes,Podicipedidae (Grebes),Low,Uncertain,Uncertain,Moderate,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Winter Migrant,NA,NA,NA,Great Crested Grebe,Podiceps cristatus,250
Eared Grebe,Podiceps nigricollis,eargre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Black-necked Grebe,Podiceps nigricollis,NA
Rock Pigeon,Columba livia,rocpig,Columbiformes,Columbidae (Pigeons and Doves),Low,Strong Increase,Strong Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Rock Pigeon,Columba livia,NA
Hill Pigeon,Columba rupestris,hilpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Hill Pigeon,Columba rupestris,NA
Snow Pigeon,Columba leuconota,snopig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Pigeon,Columba leuconota,NA
Yellow-eyed Pigeon,Columba eversmanni,pabpig1,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant,1,NA,NA,Yellow-eyed Pigeon,Columba eversmanni,NA
Common Wood-Pigeon,Columba palumbus,cowpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Local Migrant & Winter Migrant,1,NA,NA,Common Wood Pigeon,Columba palumbus,NA
Speckled Wood-Pigeon,Columba hodgsonii,spwpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Speckled Wood Pigeon,Columba hodgsonii,NA
Ashy Wood-Pigeon,Columba pulchricollis,aswpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Ashy Wood Pigeon,Columba pulchricollis,NA
Nilgiri Wood-Pigeon,Columba elphinstonii,niwpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident & Local Migrant,NA,NA,NA,Nilgiri Wood Pigeon,Columba elphinstonii,NA
Pale-capped Pigeon,Columba punicea,pacpig1,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Pale-capped Pigeon,Columba punicea,NA
Andaman Wood-Pigeon,Columba palumboides,anwpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Wood Pigeon,Columba palumboides,NA
European Turtle-Dove,Streptopelia turtur,eutdov,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,European Turtle Dove,Streptopelia turtur,NA
Oriental Turtle-Dove,Streptopelia orientalis,ortdov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Within-India Migrant,NA,NA,NA,Oriental Turtle Dove,Streptopelia orientalis,NA
Eurasian Collared-Dove,Streptopelia decaocto,eucdov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Eurasian Collared Dove,Streptopelia decaocto,NA
Red Collared-Dove,Streptopelia tranquebarica,recdov1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident & Local Migrant,NA,NA,NA,Red Collared Dove,Streptopelia tranquebarica,NA
Spotted Dove,Spilopelia chinensis,spodov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Stable,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Spotted Dove,Spilopelia chinensis,NA
Laughing Dove,Spilopelia senegalensis,laudov1,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Laughing Dove,Spilopelia senegalensis,NA
Barred Cuckoo-Dove,Macropygia unchall,bacdov1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Barred Cuckoo Dove,Macropygia unchall,NA
Andaman Cuckoo-Dove,Macropygia rufipennis,ancdov1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Cuckoo Dove,Macropygia rufipennis,NA
Namaqua Dove,Oena capensis,namdov1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Namaqua Dove,Oena capensis,NA
Asian Emerald Dove,Chalcophaps indica,emedov2,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Asian Emerald Dove,Chalcophaps indica,NA
Nicobar Pigeon,Caloenas nicobarica,nicpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,1,Nicobar Pigeon,Caloenas nicobarica,NA
Orange-breasted Green-Pigeon,Treron bicinctus,orbpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Local Migrant,NA,NA,NA,Orange-breasted Green Pigeon,Treron bicinctus,NA
Gray-fronted Green-Pigeon,Treron affinis,pomgrp2,Columbiformes,Columbidae (Pigeons and Doves),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Grey-fronted Green Pigeon,Treron affinis,NA
Andaman Green-Pigeon,Treron chloropterus,pomgrp4,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Strong Decline,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Green Pigeon,Treron chloropterus,NA
Ashy-headed Green-Pigeon,Treron phayrei,pomgrp5,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Ashy-headed Green Pigeon,Treron phayrei,NA
Thick-billed Green-Pigeon,Treron curvirostra,thbpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Thick-billed Green Pigeon,Treron curvirostra,NA
Yellow-footed Green-Pigeon,Treron phoenicopterus,yefpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Yellow-footed Green Pigeon,Treron phoenicopterus,NA
Pin-tailed Green-Pigeon,Treron apicauda,pitpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Pin-tailed Green Pigeon,Treron apicauda,NA
Wedge-tailed Green-Pigeon,Treron sphenurus,wetpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Wedge-tailed Green Pigeon,Treron sphenurus,NA
Green Imperial-Pigeon,Ducula aenea,gripig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Green Imperial Pigeon,Ducula aenea,NA
Nicobar Imperial-Pigeon,Ducula nicobarica,grnimp2,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Imperial Pigeon,Ducula nicobarica,NA
Malabar Imperial-Pigeon,Ducula cuprea,mouimp1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Malabar Imperial Pigeon,Ducula cuprea,NA
Mountain Imperial-Pigeon,Ducula badia,moipig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Imperial Pigeon,Ducula badia,NA
Pied Imperial-Pigeon,Ducula bicolor,piipig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,1,Pied Imperial Pigeon,Ducula bicolor,NA
Tibetan Sandgrouse,Syrrhaptes tibetanus,tibsan1,Pterocliformes,Pteroclidae (Sandgrouse),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Sandgrouse,Syrrhaptes tibetanus,NA
Pallas's Sandgrouse,Syrrhaptes paradoxus,palsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Uncertain,NA,1,NA,Pallas's Sandgrouse,Syrrhaptes paradoxus,NA
Pin-tailed Sandgrouse,Pterocles alchata,pitsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Uncertain,NA,1,NA,Pin-tailed Sandgrouse,Pterocles alchata,NA
Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan,Pterocliformes,Pteroclidae (Sandgrouse),Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Resident,1,NA,NA,Chestnut-bellied Sandgrouse,Pterocles exustus,NA
Spotted Sandgrouse,Pterocles senegallus,sposan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Spotted Sandgrouse,Pterocles senegallus,NA
Black-bellied Sandgrouse,Pterocles orientalis,blbsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,1,NA,Black-bellied Sandgrouse,Pterocles orientalis,NA
Painted Sandgrouse,Pterocles indicus,paisan1,Pterocliformes,Pteroclidae (Sandgrouse),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Painted Sandgrouse,Pterocles indicus,NA
Great Indian Bustard,Ardeotis nigriceps,indbus1,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,NA,Great Indian Bustard,Ardeotis nigriceps,NA
Macqueen's Bustard,Chlamydotis macqueenii,macbus1,Otidiformes,Otididae (Bustards),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,1,NA,NA,Macqueen's Bustard,Chlamydotis macqueenii,NA
Bengal Florican,Houbaropsis bengalensis,benflo2,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,1,NA,NA,Bengal Florican,Houbaropsis bengalensis,NA
Lesser Florican,Sypheotides indicus,lesflo2,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Local Migrant,NA,NA,NA,Lesser Florican,Sypheotides indicus,NA
Little Bustard,Tetrax tetrax,litbus1,Otidiformes,Otididae (Bustards),NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Uncertain,NA,1,NA,Little Bustard,Tetrax tetrax,NA
Andaman Coucal,Centropus andamanensis,andcou1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Andaman Islands,Non-specialized,Resident,NA,NA,1,Andaman Coucal,Centropus andamanensis,NA
Greater Coucal,Centropus sinensis,grecou1,Cuculiformes,Cuculidae (Cuckoos),Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Greater Coucal,Centropus sinensis,NA
Lesser Coucal,Centropus bengalensis,lescou1,Cuculiformes,Cuculidae (Cuckoos),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Lesser Coucal,Centropus bengalensis,NA
Sirkeer Malkoha,Taccocua leschenaultii,sirmal1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Sirkeer Malkoha,Taccocua leschenaultii,NA
Blue-faced Malkoha,Phaenicophaeus viridirostris,blfmal1,Cuculiformes,Cuculidae (Cuckoos),Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Blue-faced Malkoha,Phaenicophaeus viridirostris,NA
Green-billed Malkoha,Phaenicophaeus tristis,grbmal1,Cuculiformes,Cuculidae (Cuckoos),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Green-billed Malkoha,Phaenicophaeus tristis,NA
Chestnut-winged Cuckoo,Clamator coromandus,chwcuc1,Cuculiformes,Cuculidae (Cuckoos),NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Chestnut-winged Cuckoo,Clamator coromandus,NA
Pied Cuckoo,Clamator jacobinus,piecuc1,Cuculiformes,Cuculidae (Cuckoos),Low,Stable,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Summer Migrant,NA,NA,NA,Pied Cuckoo,Clamator jacobinus,NA
Asian Koel,Eudynamys scolopaceus,asikoe2,Cuculiformes,Cuculidae (Cuckoos),Low,Moderate Increase,Strong Increase,Very Large,24 hour,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Asian Koel,Eudynamys scolopaceus,NA
Asian Emerald Cuckoo,Chrysococcyx maculatus,asecuc1,Cuculiformes,Cuculidae (Cuckoos),NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Summer Migrant,1,NA,NA,Asian Emerald Cuckoo,Chrysococcyx maculatus,NA
Violet Cuckoo,Chrysococcyx xanthorhynchus,viocuc1,Cuculiformes,Cuculidae (Cuckoos),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Summer Migrant,NA,NA,NA,Violet Cuckoo,Chrysococcyx xanthorhynchus,NA
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,hobcuc1,Cuculiformes,Cuculidae (Cuckoos),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Uncertain,NA,1,NA,Horsfield's Bronze Cuckoo,Chrysococcyx basalis,NA
Banded Bay Cuckoo,Cacomantis sonneratii,babcuc2,Cuculiformes,Cuculidae (Cuckoos),Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Banded Bay Cuckoo,Cacomantis sonneratii,NA
Plaintive Cuckoo,Cacomantis merulinus,placuc1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Data Deficient,Uncertain,Restricted,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Plaintive Cuckoo,Cacomantis merulinus,NA
Gray-bellied Cuckoo,Cacomantis passerinus,placuc3,Cuculiformes,Cuculidae (Cuckoos),Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Non-specialized,Resident & Local Migrant,NA,NA,NA,Grey-bellied Cuckoo,Cacomantis passerinus,NA
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,asidrc2,Cuculiformes,Cuculidae (Cuckoos),Low,Data Deficient,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Within-India Migrant,NA,NA,NA,Fork-tailed Drongo Cuckoo,Surniculus dicruroides,NA
Square-tailed Drongo-Cuckoo,Surniculus lugubris,asidrc3,Cuculiformes,Cuculidae (Cuckoos),Low,Data Deficient,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant,NA,NA,NA,Square-tailed Drongo Cuckoo,Surniculus lugubris,NA
Large Hawk-Cuckoo,Hierococcyx sparverioides,larhac2,Cuculiformes,Cuculidae (Cuckoos),Low,Uncertain,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Within-India Migrant,NA,NA,NA,Large Hawk Cuckoo,Hierococcyx sparverioides,NA
Common Hawk-Cuckoo,Hierococcyx varius,cohcuc1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Moderate Decline,Uncertain,Very Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Common Hawk Cuckoo,Hierococcyx varius,NA
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,hodhac1,Cuculiformes,Cuculidae (Cuckoos),NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Hodgson's Hawk Cuckoo,Hierococcyx nisicolor,NA
Lesser Cuckoo,Cuculus poliocephalus,lescuc1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Data Deficient,Strong Decline,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Lesser Cuckoo,Cuculus poliocephalus,NA
Indian Cuckoo,Cuculus micropterus,indcuc1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Moderate Decline,Strong Decline,Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Indian Cuckoo,Cuculus micropterus,NA
Himalayan Cuckoo,Cuculus saturatus,himcuc1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Himalayan Cuckoo,Cuculus saturatus,NA
Common Cuckoo,Cuculus canorus,comcuc,Cuculiformes,Cuculidae (Cuckoos),Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Summer Migrant & Passage Migrant,NA,NA,NA,Common Cuckoo,Cuculus canorus,NA
Sri Lanka Frogmouth,Batrachostomus moniliger,ceyfro1,Caprimulgiformes,Podargidae (Frogmouths),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Sri Lanka Frogmouth,Batrachostomus moniliger,NA
Hodgson's Frogmouth,Batrachostomus hodgsoni,hodfro1,Caprimulgiformes,Podargidae (Frogmouths),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Hodgson's Frogmouth,Batrachostomus hodgsoni,NA
Great Eared-Nightjar,Lyncornis macrotis,grenig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,1,NA,NA,Great Eared Nightjar,Lyncornis macrotis,NA
Jungle Nightjar,Caprimulgus indicus,grynig2,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Jungle Nightjar,Caprimulgus indicus,NA
Gray Nightjar,Caprimulgus jotaka,grynig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Summer Migrant,NA,NA,NA,Grey Nightjar,Caprimulgus jotaka,NA
Eurasian Nightjar,Caprimulgus europaeus,eurnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Passage Migrant,NA,NA,NA,European Nightjar,Caprimulgus europaeus,NA
Sykes's Nightjar,Caprimulgus mahrattensis,syknig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,1,NA,NA,Sykes's Nightjar,Caprimulgus mahrattensis,NA
Large-tailed Nightjar,Caprimulgus macrurus,latnig2,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Large-tailed Nightjar,Caprimulgus macrurus,NA
Andaman Nightjar,Caprimulgus andamanicus,andnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Forest & Plantation,Resident,NA,NA,1,Andaman Nightjar,Caprimulgus andamanicus,NA
Jerdon's Nightjar,Caprimulgus atripennis,jernig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Jerdon's Nightjar,Caprimulgus atripennis,NA
Indian Nightjar,Caprimulgus asiaticus,indnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Indian Nightjar,Caprimulgus asiaticus,NA
Savanna Nightjar,Caprimulgus affinis,savnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Resident & Local Migrant,NA,NA,NA,Savanna Nightjar,Caprimulgus affinis,NA
