Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
1133,Passeriformes,Muscicapidae,White-bellied Sholakili Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris,"(Blanford, 1868)","White-bellied Blue Robin, White-bellied Shortwing; Ashambu Sholakili S. [a.] ashambuensis",,,Near Threatened,Schedule-I,High,,,X,,,,,,,,,X,
1134,Passeriformes,Muscicapidae,Large Niltava Niltava grandis,Large Niltava,Niltava grandis,Large Niltava,Niltava grandis,"(Blyth, 1842)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1135,Passeriformes,Muscicapidae,Small Niltava Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,"(Burton, 1836)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1136,Passeriformes,Muscicapidae,Rufous-bellied Niltava Niltava sundara,Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,Niltava sundara,"Hodgson, 1837",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1137,Passeriformes,Muscicapidae,Chinese Vivid Niltava Niltava oatesi,Chinese Vivid Niltava,Niltava oatesi,Chinese Vivid Niltava,Niltava oatesi,"Salvadori, 1887","Large Vivid Niltava; Rufous-bellied Blue Flycatcher/Vivid Niltava (with N. vivida EL), ",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1138,Passeriformes,Muscicapidae,Blue-and-white Flycatcher Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,"(Temminck, 1829)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1139,Passeriformes,Muscicapidae,Zappey's Flycatcher Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,"Thayer & Bangs, 1909",,X,,Near Threatened,Schedule-II,,,Appendix II,,,,,,,,,,,
1140,Passeriformes,Muscicapidae,Nilgiri Flycatcher Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,"(Jerdon, 1840)",Nilgiri Verditer Flycatcher,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,X,
1141,Passeriformes,Muscicapidae,Verditer Flycatcher Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,"(Swainson, 1838)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1142,Passeriformes,Muscicapidae,White-gorgeted Flycatcher Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger,"(Hodgson, 1845)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1143,Passeriformes,Muscicapidae,Hainan Blue Flycatcher Cyornis hainanus,Hainan Blue Flycatcher,Cyornis hainanus,Hainan Blue Flycatcher,Cyornis hainanus,"(Ogilvie-Grant, 1900)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1144,Passeriformes,Muscicapidae,White-bellied Blue Flycatcher Cyornis pallidipes,White-bellied Blue Flycatcher,Cyornis pallidipes,White-bellied Blue Flycatcher,Cyornis pallidipes,"(Jerdon, 1840)",,,,Least Concern,Schedule-II,High,,,X,,,,,,,,,X,
1145,Passeriformes,Muscicapidae,Pale-chinned Flycatcher Cyornis poliogenys,Pale-chinned Flycatcher,Cyornis poliogenys,Pale-chinned Flycatcher,Cyornis poliogenys,"Brooks, 1880","Brooks's Flycatcher, Pale-chinned Blue Flycatcher",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1146,Passeriformes,Muscicapidae,Pale Blue Flycatcher Cyornis unicolor,Pale Blue Flycatcher,Cyornis unicolor,Pale Blue Flycatcher,Cyornis unicolor,"Blyth, 1843",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1147,Passeriformes,Muscicapidae,Blue-throated Flycatcher Cyornis rubeculoides,Blue-throated Flycatcher,Cyornis rubeculoides,Blue-throated Flycatcher,Cyornis rubeculoides,"(Vigors, 1831)",Blue-throated Blue Flycatcher,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1148,Passeriformes,Muscicapidae,Large Blue Flycatcher Cyornis magnirostris,Large Blue Flycatcher,Cyornis magnirostris,Large Blue Flycatcher,Cyornis magnirostris,"Blyth, 1849",Large-billed Blue Flycatcher,,,Near Threatened,Schedule-I,High,,Appendix II,,,,,,,,,,,
1149,Passeriformes,Muscicapidae,Hill Blue Flycatcher Cyornis whitei,Hill Blue Flycatcher,Cyornis whitei,Hill Blue Flycatcher,Cyornis whitei,"Harington, 1908",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1150,Passeriformes,Muscicapidae,Tickell's Blue Flycatcher Cyornis tickelliae,Tickell's Blue Flycatcher,Cyornis tickelliae,Tickell's Blue Flycatcher,Cyornis tickelliae,"Blyth, 1843",Tickell's Red-breasted Blue Flycatcher,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1151,Passeriformes,Muscicapidae,Nicobar Jungle Flycatcher Cyornis nicobaricus,Nicobar Jungle Flycatcher,Cyornis nicobaricus,Nicobar Jungle Flycatcher,Cyornis nicobaricus,"(Richmond, 1902)","[Olive Flycatcher, Brown-chested Jungle Flycatcher]",,,Near Threatened,Schedule-II,Moderate,,,X,X,,,,,,,,,
1152,Passeriformes,Muscicapidae,Rusty-bellied Shortwing Brachypteryx hyperythra,Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-bellied Shortwing,Brachypteryx hyperythra,"Blyth, 1861",,,,Near Threatened,Schedule-II,Moderate,,,,,,,,X,,,,,
1153,Passeriformes,Muscicapidae,Lesser Shortwing Brachypteryx leucophris,Lesser Shortwing,Brachypteryx leucophris,Lesser Shortwing,Brachypteryx leucophris,"(Temminck, 1828)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1154,Passeriformes,Muscicapidae,Himalayan Shortwing Brachypteryx cruralis,Himalayan Shortwing,Brachypteryx cruralis,Himalayan Shortwing,Brachypteryx cruralis,"(Blyth, 1843)",White-browed Shortwing (with B. montana EL),,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1155,Passeriformes,Muscicapidae,Gould's Shortwing Heteroxenicus stellatus,Gould's Shortwing,Heteroxenicus stellatus,Gould's Shortwing,Heteroxenicus stellatus,"(Gould, 1868)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1156,Passeriformes,Muscicapidae,Indian Blue Robin Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,"Hodgson, 1837",Indian Blue Chat,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1157,Passeriformes,Muscicapidae,Siberian Blue Robin Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,Larvivora cyane,"(Pallas, 1776)",Siberian Blue Chat,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1158,Passeriformes,Muscicapidae,White-bellied Redstart Luscinia phaenicuroides,White-bellied Redstart,Luscinia phaenicuroides,White-bellied Redstart,Luscinia phaenicuroides,"(Gray & Gray, 1847)","Hodgson's Blue Robin, Hodgson's Shortwing",,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1159,Passeriformes,Muscicapidae,Bluethroat Luscinia svecica,Bluethroat,Luscinia svecica,Bluethroat,Luscinia svecica,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1160,Passeriformes,Muscicapidae,Malabar Whistling-Thrush Myophonus horsfieldii,Malabar Whistling-Thrush,Myophonus horsfieldii,Malabar Whistling-Thrush,Myophonus horsfieldii,"Vigors, 1831",,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,,
1161,Passeriformes,Muscicapidae,Blue Whistling-Thrush Myophonus caeruleus,Blue Whistling-Thrush,Myophonus caeruleus,Blue Whistling-Thrush,Myophonus caeruleus,"(Scopoli, 1786)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1162,Passeriformes,Muscicapidae,Little Forktail Enicurus scouleri,Little Forktail,Enicurus scouleri,Little Forktail,Enicurus scouleri,"Vigors, 1832",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1163,Passeriformes,Muscicapidae,White-crowned Forktail Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti,"(Vieillot, 1818)",Leschenault's Forktail,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1164,Passeriformes,Muscicapidae,Spotted Forktail Enicurus maculatus,Spotted Forktail,Enicurus maculatus,Spotted Forktail,Enicurus maculatus,"Vigors, 1831",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1165,Passeriformes,Muscicapidae,Black-backed Forktail Enicurus immaculatus,Black-backed Forktail,Enicurus immaculatus,Black-backed Forktail,Enicurus immaculatus,"(Hodgson, 1836)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1166,Passeriformes,Muscicapidae,Slaty-backed Forktail Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus,"(Hodgson, 1836)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1167,Passeriformes,Muscicapidae,Firethroat Calliope pectardens,Firethroat,Calliope pectardens,Firethroat,Calliope pectardens,"David, 1877",,X,,Near Threatened,Schedule-II,,,Appendix II,,,,,,,,,,,
1168,Passeriformes,Muscicapidae,Siberian Rubythroat Calliope calliope,Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,Calliope calliope,"(Pallas, 1776)",Rubythroat,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1169,Passeriformes,Muscicapidae,Himalayan Rubythroat Calliope pectoralis,Himalayan Rubythroat,Calliope pectoralis,Himalayan Rubythroat,Calliope pectoralis,"Gould, 1837",White-tailed Rubythroat (with C. tschebaiewi),,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1170,Passeriformes,Muscicapidae,Chinese Rubythroat Calliope tschebaiewi,Chinese Rubythroat,Calliope tschebaiewi,Chinese Rubythroat,Calliope tschebaiewi,"Przevalski, 1876",,,,Least Concern,Schedule-I,Moderate,,Appendix II,,,,,,,,,,,
1171,Passeriformes,Muscicapidae,White-tailed Robin Myiomela leucura,White-tailed Robin,Myiomela leucura,White-tailed Robin,Myiomela leucura,"(Hodgson, 1845)",White-tailed Blue Robin,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1172,Passeriformes,Muscicapidae,Blue-fronted Robin Cinclidium frontale,Blue-fronted Robin,Cinclidium frontale,Blue-fronted Robin,Cinclidium frontale,"Blyth, 1842",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1173,Passeriformes,Muscicapidae,Red-flanked Bluetail Tarsiger cyanurus,Red-flanked Bluetail,Tarsiger cyanurus,Red-flanked Bluetail,Tarsiger cyanurus,"(Pallas, 1773)","Red-flanked Bush Robin, Japanese Blue Chat, Northern Red-flanked Bush Robin, Orange-flanked Bush Robin",X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1174,Passeriformes,Muscicapidae,Himalayan Bluetail Tarsiger rufilatus,Himalayan Bluetail,Tarsiger rufilatus,Himalayan Bluetail,Tarsiger rufilatus,"(Hodgson, 1845)","Orange-flanked Bush Robin (with T. cyanurus); Himalayan Bush Robin, Himalayan Red-flanked Bush Robin",,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1175,Passeriformes,Muscicapidae,Rufous-breasted Bush-Robin Tarsiger hyperythrus,Rufous-breasted Bush-Robin,Tarsiger hyperythrus,Rufous-breasted Bush-Robin,Tarsiger hyperythrus,"(Blyth, 1847)",Rufous-bellied Bush Robin,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1176,Passeriformes,Muscicapidae,White-browed Bush-Robin Tarsiger indicus,White-browed Bush-Robin,Tarsiger indicus,White-browed Bush-Robin,Tarsiger indicus,"(Vieillot, 1817)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1177,Passeriformes,Muscicapidae,Golden Bush-Robin Tarsiger chrysaeus,Golden Bush-Robin,Tarsiger chrysaeus,Golden Bush-Robin,Tarsiger chrysaeus,"Hodgson, 1845",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1178,Passeriformes,Muscicapidae,Yellow-rumped Flycatcher Ficedula zanthopygia,Yellow-rumped Flycatcher,Ficedula zanthopygia,Yellow-rumped Flycatcher,Ficedula zanthopygia,"(Hay, 1845)",Korean Flycatcher,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1179,Passeriformes,Muscicapidae,Mugimaki Flycatcher Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,"(Temminck, 1836)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1180,Passeriformes,Muscicapidae,Slaty-backed Flycatcher Ficedula erithacus,Slaty-backed Flycatcher,Ficedula erithacus,Slaty-backed Flycatcher,Ficedula erithacus,"(Jerdon & Blyth, 1861)",Rusty-breasted Blue Flycatcher,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1181,Passeriformes,Muscicapidae,Black-and-orange Flycatcher Ficedula nigrorufa,Black-and-orange Flycatcher,Ficedula nigrorufa,Black-and-orange Flycatcher,Ficedula nigrorufa,"(Jerdon, 1839)",Black-and-rufous Flycatcher,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,X,
1182,Passeriformes,Muscicapidae,Slaty-blue Flycatcher Ficedula tricolor,Slaty-blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,Ficedula tricolor,"(Hodgson, 1845)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1183,Passeriformes,Muscicapidae,Snowy-browed Flycatcher Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra,"(Blyth, 1843)",Rufous-breasted Blue Flycatcher,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1184,Passeriformes,Muscicapidae,Pygmy Flycatcher Ficedula hodgsoni,Pygmy Flycatcher,Ficedula hodgsoni,Pygmy Flycatcher,Ficedula hodgsoni,"(Moore, 1854)",Pygmy Blue Flycatcher,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1185,Passeriformes,Muscicapidae,Rufous-gorgeted Flycatcher Ficedula strophiata,Rufous-gorgeted Flycatcher,Ficedula strophiata,Rufous-gorgeted Flycatcher,Ficedula strophiata,"(Hodgson, 1837)",Orange-gorgeted Flycatcher,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1186,Passeriformes,Muscicapidae,Sapphire Flycatcher Ficedula sapphira,Sapphire Flycatcher,Ficedula sapphira,Sapphire Flycatcher,Ficedula sapphira,"(Blyth, 1843)",Sapphire-headed Flycatcher,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1187,Passeriformes,Muscicapidae,Little Pied Flycatcher Ficedula westermanni,Little Pied Flycatcher,Ficedula westermanni,Little Pied Flycatcher,Ficedula westermanni,"(Sharpe, 1888)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1188,Passeriformes,Muscicapidae,Ultramarine Flycatcher Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,"(Jerdon, 1840)",White-browed Blue Flycatcher F. s. superciliaris, Little Blue-and-white Flycatcher F. s. aestigma,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,
1189,Passeriformes,Muscicapidae,Rusty-tailed Flycatcher Ficedula ruficauda,Rusty-tailed Flycatcher,Ficedula ruficauda,Rusty-tailed Flycatcher,Ficedula ruficauda,"(Swainson, 1838)",Rufous-tailed Flycatcher,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1190,Passeriformes,Muscicapidae,Taiga Flycatcher Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,"(Pallas, 1811)",Red-throated Flycatcher,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1191,Passeriformes,Muscicapidae,Kashmir Flycatcher Ficedula subrubra,Kashmir Flycatcher,Ficedula subrubra,Kashmir Flycatcher,Ficedula subrubra,"(Hartert & Steinbacher, 1934)",Kashmir Red-breasted Flycatcher,,,Vulnerable,Schedule-I,High,,Appendix II,,,,,,,,,,,
1192,Passeriformes,Muscicapidae,Red-breasted Flycatcher Ficedula parva,Red-breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,Ficedula parva,"(Bechstein, 1792)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1193,Passeriformes,Muscicapidae,Blue-fronted Redstart Phoenicurus frontalis,Blue-fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,Phoenicurus frontalis,"Vigors, 1831",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1194,Passeriformes,Muscicapidae,Plumbeous Redstart Phoenicurus fuliginosus,Plumbeous Redstart,Phoenicurus fuliginosus,Plumbeous Redstart,Phoenicurus fuliginosus,"Vigors, 1831",Plumbeous Water Redstart,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
1195,Passeriformes,Muscicapidae,Rufous-backed Redstart Phoenicurus erythronotus,Rufous-backed Redstart,Phoenicurus erythronotus,Rufous-backed Redstart,Phoenicurus erythronotus,"(Eversmann, 1841)",Eversmann's Redstart,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1196,Passeriformes,Muscicapidae,White-capped Redstart Phoenicurus leucocephalus,White-capped Redstart,Phoenicurus leucocephalus,White-capped Redstart,Phoenicurus leucocephalus,"Vigors, 1831","River Chat, White-capped Water Redstart",,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1197,Passeriformes,Muscicapidae,Blue-capped Redstart Phoenicurus coeruleocephala,Blue-capped Redstart,Phoenicurus coeruleocephala,Blue-capped Redstart,Phoenicurus coeruleocephala,"Vigors, 1831",Blue-headed Redstart,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1198,Passeriformes,Muscicapidae,Common Redstart Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,"(Linnaeus, 1758)",White-fronted Redstart,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1199,Passeriformes,Muscicapidae,Hodgson's Redstart Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,"(Moore, 1854)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1200,Passeriformes,Muscicapidae,White-throated Redstart Phoenicurus schisticeps,White-throated Redstart,Phoenicurus schisticeps,White-throated Redstart,Phoenicurus schisticeps,"(Gray & Gray, 1847)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1201,Passeriformes,Muscicapidae,White-winged Redstart Phoenicurus erythrogastrus,White-winged Redstart,Phoenicurus erythrogastrus,White-winged Redstart,Phoenicurus erythrogastrus,"(Güldenstädt, 1775)",Güldenstädt's Redstart,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1202,Passeriformes,Muscicapidae,Black Redstart Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,"(Gmelin, 1774)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
1203,Passeriformes,Muscicapidae,Daurian Redstart Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,"(Pallas, 1776)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1204,Passeriformes,Muscicapidae,Chestnut-bellied Rock-Thrush Monticola rufiventris,Chestnut-bellied Rock-Thrush,Monticola rufiventris,Chestnut-bellied Rock-Thrush,Monticola rufiventris,"(Jardine & Selby, 1833)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1205,Passeriformes,Muscicapidae,White-throated Rock-Thrush Monticola gularis,White-throated Rock-Thrush,Monticola gularis,White-throated Rock-Thrush,Monticola gularis,"(Swinhoe, 1863)",,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
1206,Passeriformes,Muscicapidae,Blue-capped Rock-Thrush Monticola cinclorhyncha,Blue-capped Rock-Thrush,Monticola cinclorhyncha,Blue-capped Rock-Thrush,Monticola cinclorhyncha,"(Vigors, 1831)",Blue-headed Rock-Thrush,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1207,Passeriformes,Muscicapidae,Rufous-tailed Rock-Thrush Monticola saxatilis,Rufous-tailed Rock-Thrush,Monticola saxatilis,Rufous-tailed Rock-Thrush,Monticola saxatilis,"(Linnaeus, 1766)","Common Rock-Thrush, Rock Thrush",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1208,Passeriformes,Muscicapidae,Blue Rock-Thrush Monticola solitarius,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush,Monticola solitarius,"(Linnaeus, 1758)",[Asian Rock-Thrush],,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1209,Passeriformes,Muscicapidae,Whinchat Saxicola rubetra,Whinchat,Saxicola rubetra,Whinchat,Saxicola rubetra,"(Linnaeus, 1758)",,X,,Least Concern,Recent addition,,,Appendix II,,,,,,,,,,,
1210,Passeriformes,Muscicapidae,White-browed Bushchat Saxicola macrorhynchus,White-browed Bushchat,Saxicola macrorhynchus,White-browed Bushchat,Saxicola macrorhynchus,"(Stoliczka, 1872)",Stoliczka's Bushchat,,,Vulnerable,Schedule-II,High,,,,,,,,,,,,,
1211,Passeriformes,Muscicapidae,White-throated Bushchat Saxicola insignis,White-throated Bushchat,Saxicola insignis,White-throated Bushchat,Saxicola insignis,"Gray & Gray, 1847",Hodgson's Bushchat,,,Vulnerable,Schedule-I,High,,Appendix II,,,,,,,,,,,
1212,Passeriformes,Muscicapidae,Siberian Stonechat Saxicola maurus,Siberian Stonechat,Saxicola maurus,Siberian Stonechat,Saxicola maurus,"(Pallas, 1773)",Eastern Stonechat (with S. stejnegeri), Collared Bushchat/Common Stonechat (with S. stejnegeri & S. torquatus EL),,,Not recognized,Schedule-II,Low,,Appendix II,,,,,,,,,,
1213,Passeriformes,Muscicapidae,Amur Stonechat Saxicola stejnegeri,Amur Stonechat,Saxicola stejnegeri,Amur Stonechat,Saxicola stejnegeri,"(Parrot, 1908)",Stejneger's Stonechat,,,Not recognized,Schedule-II,,,Appendix II,,,,,,,,,,,
1214,Passeriformes,Muscicapidae,White-tailed Stonechat Saxicola leucurus,White-tailed Stonechat,Saxicola leucurus,White-tailed Stonechat,Saxicola leucurus,"(Blyth, 1847)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1215,Passeriformes,Muscicapidae,Pied Bushchat Saxicola caprata,Pied Bushchat,Saxicola caprata,Pied Bushchat,Saxicola caprata,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1216,Passeriformes,Muscicapidae,Jerdon's Bushchat Saxicola jerdoni,Jerdon's Bushchat,Saxicola jerdoni,Jerdon's Bushchat,Saxicola jerdoni,"(Blyth, 1867)",,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
1217,Passeriformes,Muscicapidae,Grey Bushchat Saxicola ferreus,Grey Bushchat,Saxicola ferreus,Gray Bushchat,Saxicola ferreus,"Gray & Gray, 1847",Dark-grey Bushchat,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
1218,Passeriformes,Muscicapidae,Northern Wheatear Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,"(Linnaeus, 1758)",Wheatear,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1219,Passeriformes,Muscicapidae,Isabelline Wheatear Oenanthe isabellina,Isabelline Wheatear,Oenanthe isabellina,Isabelline Wheatear,Oenanthe isabellina,"(Temminck, 1829)",Isabelline Chat,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1220,Passeriformes,Muscicapidae,Desert Wheatear Oenanthe deserti,Desert Wheatear,Oenanthe deserti,Desert Wheatear,Oenanthe deserti,"(Temminck, 1825)",,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1221,Passeriformes,Muscicapidae,Pied Wheatear Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,"(Lepekhin, 1770)",Pleschanka's Chat,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1222,Passeriformes,Muscicapidae,Brown Rock Chat Oenanthe fusca,Brown Rock Chat,Oenanthe fusca,Brown Rock Chat,Oenanthe fusca,"(Blyth, 1851)",Indian Chat,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
1223,Passeriformes,Muscicapidae,Variable Wheatear Oenanthe picata,Variable Wheatear,Oenanthe picata,Variable Wheatear,Oenanthe picata,"(Blyth, 1847)",Pied Chat,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
1224,Passeriformes,Muscicapidae,Hume's Wheatear Oenanthe albonigra,Hume's Wheatear,Oenanthe albonigra,Hume's Wheatear,Oenanthe albonigra,"(Hume, 1872)",Hume's Chat,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1225,Passeriformes,Muscicapidae,Finsch's Wheatear Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,"(Heuglin, 1869)",Barnes's Chat,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1226,Passeriformes,Muscicapidae,Red-tailed Wheatear Oenanthe chrysopygia,Red-tailed Wheatear,Oenanthe chrysopygia,Persian Wheatear,Oenanthe chrysopygia,"(de Filippi, 1863)","Rusty-tailed Wheatear, Red-tailed Chat",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
1227,Passeriformes,Bombycillidae,Bohemian Waxwing Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,"(Linnaeus, 1758)",Waxwing,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
1228,Passeriformes,Hypocoliidae,Grey Hypocolius Hypocolius ampelinus,Grey Hypocolius,Hypocolius ampelinus,Hypocolius,Hypocolius ampelinus,"Bonaparte, 1850",Hypocolius,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
1229,Passeriformes,Dicaeidae,Thick-billed Flowerpecker Pachyglossa agilis,Thick-billed Flowerpecker,Pachyglossa agilis,Thick-billed Flowerpecker,Pachyglossa agilis,"(Tickell, 1833)",[Modest Flowerpecker],,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
