Sl No,English Name,Scientific Name
1183,Great Rosefinch,Carpodacus rubicilla
1184,Red-fronted Rosefinch,Carpodacus puniceus
1185,Crimson-browed Finch,Carpodacus subhimachalus
1186,Himalayan White-browed Rosefinch,Carpodacus thura
1187,Brown Bullfinch,Pyrrhula nipalensis
1188,Orange Bullfinch,Pyrrhula aurantiaca
1189,Red-headed Bullfinch,Pyrrhula erythrocephala
1190,Grey-headed Bullfinch,Pyrrhula erythaca
1191,Trumpeter Finch,Bucanetes githagineus
1192,Mongolian Finch,Bucanetes mongolicus
1193,Blanford's Rosefinch,Agraphospiza rubescens
1194,Gold-naped Finch,Pyrrhoplectes epauletta
1195,Spectacled Finch,Callacanthis burtoni
1196,Dark-breasted Rosefinch,Procarduelis nipalensis
1197,Plain Mountain Finch,Leucosticte nemoricola
1198,Black-headed Mountain Finch,Leucosticte brandti
1199,Yellow-breasted Greenfinch,Chloris spinoides
1200,Black-headed Greenfinch,Chloris ambigua
1201,Twite,Linaria flavirostris
1202,Red Crossbill,Loxia curvirostra
1203,Grey-crowned Goldfinch,Carduelis caniceps
1204,Fire-fronted Serin,Serinus pusillus
1205,Tibetan Siskin,Spinus thibetanus
1206,Crested Bunting,Emberiza lathami
1207,Black-headed Bunting,Emberiza melanocephala
1208,Red-headed Bunting,Emberiza bruniceps
1209,Chestnut-eared Bunting,Emberiza fucata
1210,Rock Bunting,Emberiza cia
1211,Godlewski's Bunting,Emberiza godlewskii
1212,White-capped Bunting,Emberiza stewarti
1213,Yellowhammer,Emberiza citrinella
1214,Pine Bunting,Emberiza leucocephalos
1215,Grey-necked Bunting,Emberiza buchanani
1216,Striolated Bunting,Emberiza striolata
1217,Eurasian Reed Bunting,Emberiza schoeniclus
1218,Yellow-breasted Bunting,Emberiza aureola
1219,Little Bunting,Emberiza pusilla
1220,Black-faced Bunting,Emberiza spodocephala
1221,Chestnut Bunting,Emberiza rutila
