TaxonID,group,sci_name,ISO3,pp,groupcode,Scientific
22695215,Bird,Gyps himalayensis,IND,0.252074413,1,22695215
22695219,Bird,Gyps fulvus,IND,0.082819957,1,22695219
22695231,Bird,Aegypius monachus,IND,0.067655846,1,22695231
22695254,Bird,Sarcogyps calvus,IND,0.553966538,1,22695254
22695293,Bird,Spilornis cheela,IND,0.271842028,1,22695293
22695323,Bird,Spilornis elgini,IND,1,1,22695323
22695344,Bird,Circus aeruginosus,IND,0.078124388,1,22695344
22695396,Bird,Circus macrourus,IND,0.063690099,1,22695396
22695402,Bird,Circus melanoleucos,IND,0.206160456,1,22695402
22695405,Bird,Circus pygargus,IND,0.028617415,1,22695405
22695462,Bird,Accipiter trivirgatus,IND,0.139060009,1,22695462
22695490,Bird,Accipiter badius,IND,0.128560004,1,22695490
22695494,Bird,Accipiter butleri,IND,1,1,22695494
22695588,Bird,Accipiter virgatus,IND,0.159213219,1,22695588
22695624,Bird,Accipiter nisus,IND,0.050028113,1,22695624
22695683,Bird,Accipiter gentilis,IND,0.002479356,1,22695683
22695718,Bird,Butastur teesa,IND,0.709735441,1,22695718
22695967,Bird,Buteo hemilasius,IND,0.015169939,1,22695967
22696019,Bird,Ictinaetus malaiensis,IND,0.216764514,1,22696019
22696027,Bird,Clanga clanga,IND,0.07512828,1,22696027
22696033,Bird,Aquila rapax,IND,0.119234533,1,22696033
22696038,Bird,Aquila nipalensis,IND,0.098318497,1,22696038
22696048,Bird,Aquila heliaca,IND,0.041263671,1,22696048
22696060,Bird,Aquila chrysaetos,IND,0.004886929,1,22696060
22696076,Bird,Aquila fasciata,IND,0.366021832,1,22696076
22696092,Bird,Hieraaetus pennatus,IND,0.078998913,1,22696092
22696111,Bird,Lophotriorchis kienerii,IND,0.070132851,1,22696111
22696153,Bird,Nisaetus nipalensis,IND,0.134679459,1,22696153
22696324,Bird,Microhierax caerulescens,IND,0.018346311,1,22696324
22696339,Bird,Microhierax melanoleucos,IND,0.039540196,1,22696339
22696357,Bird,Falco naumanni,IND,0.03790085,1,22696357
22696362,Bird,Falco tinnunculus,IND,0.053605815,1,22696362
22696437,Bird,Falco amurensis,IND,0.176732174,1,22696437
22696453,Bird,Falco columbarius,IND,0.012294551,1,22696453
22696460,Bird,Falco subbuteo,IND,0.003191776,1,22696460
22696470,Bird,Falco severus,IND,0.091741927,1,22696470
22696492,Bird,Falco jugger,IND,0.763972929,1,22696492
22696495,Bird,Falco cherrug,IND,0.030979389,1,22696495
22696545,Bird,Tachybaptus ruficollis,IND,0.078456523,1,22696545
22696599,Bird,Podiceps grisegena,IND,0.003273549,1,22696599
22696602,Bird,Podiceps cristatus,IND,0.040156282,1,22696602
22696610,Bird,Podiceps nigricollis,IND,0.002523776,1,22696610
22696637,Bird,Phaethon aethereus,IND,0.0045809,1,22696637
22696641,Bird,Phaethon rubricauda,IND,0.022458032,1,22696641
22696645,Bird,Phaethon lepturus,IND,0.010486112,1,22696645
22696694,Bird,Sula sula,IND,4.32E-04,1,22696694
22696698,Bird,Sula leucogaster,IND,0.011021253,1,22696698
22696712,Bird,Anhinga melanogaster,IND,0.427806754,1,22696712
22696740,Bird,Microcarbo niger,IND,0.558694313,1,22696740
22696779,Bird,Phalacrocorax fuscicollis,IND,0.522712622,1,22696779
22696792,Bird,Phalacrocorax carbo,IND,0.090864871,1,22696792
22696977,Bird,Egretta eulophotes,IND,6.69E-04,1,22696977
22696980,Bird,Egretta sacra,IND,0.001637889,1,22696980
22696993,Bird,Ardea cinerea,IND,0.054507942,1,22696993
22697017,Bird,Ardea goliath,IND,0.004676873,1,22697017
22697021,Bird,Ardea insignis,IND,0.59827252,1,22697021
22697031,Bird,Ardea purpurea,IND,0.068338261,1,22697031
22697043,Bird,Ardea alba,IND,0.040134092,1,22697043
22697109,Bird,Bubulcus ibis,IND,0.046924754,1,22697109
22697128,Bird,Ardeola grayii,IND,0.712054255,1,22697128
22697133,Bird,Ardeola bacchus,IND,0.012836394,1,22697133
22697211,Bird,Nycticorax nycticorax,IND,0.056780409,1,22697211
22697232,Bird,Oroanassa magnifica,IND,0.001441625,1,22697232
