"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
2013,50.3714389478201,73.9092586625105,"2013",-4.02486876060141,0.0726474736359517,"Cotton Pygmy-Goose",0.0153752662087494,0.0177071220331506,0.0203889565260175,-3.5266888606339,0.0289740726513154,0.0753117986506333,61.1136799656872
2014,47.0363132136612,71.8198434871767,"2014",-4.06903581089976,0.0681797664324942,"Cotton Pygmy-Goose",0.0148443398192393,0.016948591142207,0.0193481887042324,-3.5266888606339,0.0289740726513154,0.0753117986506333,58.4957156219373
2015,38.6070444399835,56.4932847375504,"2015",-4.28966060839127,0.0683624396841709,"Cotton Pygmy-Goose",0.0119187774256778,0.0136160291572055,0.0155530638231427,-3.5266888606339,0.0289740726513154,0.0753117986506333,46.9938393579177
2016,39.8675004671949,58.6598145345719,"2016",-4.26631777932141,0.0653951421887911,"Cotton Pygmy-Goose",0.0122692581648321,0.0139353534422699,0.0158258766057124,-3.5266888606339,0.0289740726513154,0.0753117986506333,48.0959429141119
2017,33.5311991121197,49.7100983728162,"2017",-4.43090189179826,0.0670241481109416,"Cotton Pygmy-Goose",0.0103840546648306,0.0118331796078577,0.0134831526975999,-3.5266888606339,0.0289740726513154,0.0753117986506333,40.8405809920563
2018,35.0587593007683,51.9065952628203,"2018",-4.3841967549214,0.0656440537338176,"Cotton Pygmy-Goose",0.0109071404352271,0.0123954386585264,0.0140853676041275,-3.5266888606339,0.0289740726513154,0.0753117986506333,42.7811402549364
2019,31.1120619015886,46.0790441934543,"2019",-4.5002804438758,0.0660863040249641,"Cotton Pygmy-Goose",0.00970917521842591,0.0110444388913444,0.0125621682835253,-3.5266888606339,0.0289740726513154,0.0753117986506333,38.1183516182112
2020,29.1668763120245,43.5556089162576,"2020",-4.57661373430336,0.0647321627773481,"Cotton Pygmy-Goose",0.00902265041041535,0.0102369233028437,0.0116136538277258,-3.5266888606339,0.0289740726513154,0.0753117986506333,35.3313233732743
2021,26.7357885071769,38.8687539786836,"2021",-4.66397533175378,0.0643546531248601,"Cotton Pygmy-Goose",0.00827709396061712,0.00938459203487804,0.0106394798107153,-3.5266888606339,0.0289740726513154,0.0753117986506333,32.3896200158523
2022,28.9790317547387,43.1373752103863,"2022",-4.59037094405335,0.0656746751721219,"Cotton Pygmy-Goose",0.00888357136161624,0.010097764677543,0.0114769490286669,-3.5266888606339,0.0289740726513154,0.0753117986506333,34.8510366459808
2023,29.7227387569627,43.5175766870197,"2023",-4.55695857590586,0.0658804329161628,"Cotton Pygmy-Goose",0.00918033075401107,0.0104390577864344,0.0118693342877248,-3.5266888606339,0.0289740726513154,0.0753117986506333,36.0289625558058
2024,27.604155395129,40.2872865287635,"2024",-4.64371649886085,0.0656437192799466,"Cotton Pygmy-Goose",0.00842454909190895,0.00957572932544388,0.0108833484583515,-3.5266888606339,0.0289740726513154,0.0753117986506333,33.049303909332
1992,81.4332674538438,122.477318934778,"before 2000",-4.74101310859743,0.0758976707471463,"Garganey",0.00749490553107788,0.00869180342954117,0.0100788672395481,-4.74101310859743,0.00869180342954117,0.0758976707471463,100
2003,92.1738725499422,139.799629953033,"2000-2006",-4.60586433576876,0.0741613121675603,"Garganey",0.00860391482157609,0.00994329618294211,0.011489969474304,-4.74101310859743,0.00869180342954117,0.0758976707471463,114.398539538382
2009,79.1189905021066,119.717037206459,"2007-2010",-4.75410789182614,0.0747064212477185,"Garganey",0.00741499128329616,0.00857921456291024,0.00992531603515587,-4.74101310859743,0.00869180342954117,0.0758976707471463,98.7046547066599
2012,82.9094703401573,129.563359341205,"2011-2012",-4.69995262067226,0.0843256899077137,"Garganey",0.00768040100024749,0.00905446722051412,0.0106730364933145,-4.74101310859743,0.00869180342954117,0.0758976707471463,104.172480359373
2013,71.3509502711067,106.898474094629,"2013",-4.87586685765454,0.079039293476089,"Garganey",0.0065123888602778,0.00759945555168423,0.00886716727099118,-4.74101310859743,0.00869180342954117,0.0758976707471463,87.4324369308177
2014,66.6173928648281,104.593520111637,"2014",-4.91803657828236,0.0757815174883489,"Garganey",0.00628418760392267,0.00728679780702259,0.00844868817837496,-4.74101310859743,0.00869180342954117,0.0758976707471463,83.8352807457272
2015,63.1108906417792,93.422692643768,"2015",-4.99955346094437,0.0714023281600562,"Garganey",0.00584346756779998,0.00671828714680611,0.00772356552327335,-4.74101310859743,0.00869180342954117,0.0758976707471463,77.2945131728637
2016,84.3759918393989,125.754534290222,"2016",-4.71605841393874,0.0680201660030377,"Garganey",0.00780264884796481,0.00891045235020663,0.0101747313130772,-4.74101310859743,0.00869180342954117,0.0758976707471463,102.515575995683
2017,70.1297913600201,104.479609335087,"2017",-4.89627399935392,0.0672768645985,"Garganey",0.00652959493630028,0.00744651707967731,0.00849164731107247,-4.74101310859743,0.00869180342954117,0.0758976707471463,85.6728657066558
2018,72.5751274317601,108.251663487499,"2018",-4.85910120148814,0.0668451240993349,"Garganey",0.00678176323118346,0.00772744176049049,0.00880440428540701,-4.74101310859743,0.00869180342954117,0.0758976707471463,88.9049300658012
2019,55.9446244101262,83.3173763973809,"2019",-5.11762150794253,0.0661321425729076,"Garganey",0.0052481987151562,0.00597234793661822,0.00679607386005977,-4.74101310859743,0.00869180342954117,0.0758976707471463,68.7124137704238
2020,57.1673834548912,86.3639335470326,"2020",-5.10426290685103,0.0673514834933639,"Garganey",0.00530592763211964,0.00605242187426119,0.00690357588439325,-4.74101310859743,0.00869180342954117,0.0758976707471463,69.6336718072867
2021,50.7712902451522,74.8078288267245,"2021",-5.2217007263484,0.0676177225737101,"Garganey",0.00471694194649652,0.00538359677598812,0.00614418007771621,-4.74101310859743,0.00869180342954117,0.0758976707471463,61.9387773737575
2022,47.2374046243862,71.176877509798,"2022",-5.3017127348956,0.0679058590957362,"Garganey",0.00435257148894484,0.00497065714016773,0.00567626338091688,-4.74101310859743,0.00869180342954117,0.0758976707471463,57.1878687830625
